TestCase,ProjectName,CommitHash,iteration,before/after,PS-MarkSweep.count,PS-MarkSweep.time,PS-Scavenge.count,PS-Scavenge.time,blocked.count,count,daemon.count,deadlock.count,deadlocks,heap.committed,heap.init,heap.max,heap.usage,heap.used,loaded,name,new.count,non-heap.committed,non-heap.init,non-heap.max,non-heap.usage,non-heap.used,pools.Code-Cache.committed,pools.Code-Cache.init,pools.Code-Cache.max,pools.Code-Cache.usage,pools.Code-Cache.used,pools.Compressed-Class-Space.committed,pools.Compressed-Class-Space.init,pools.Compressed-Class-Space.max,pools.Compressed-Class-Space.usage,pools.Compressed-Class-Space.used,pools.Metaspace.committed,pools.Metaspace.init,pools.Metaspace.max,pools.Metaspace.usage,pools.Metaspace.used,pools.PS-Eden-Space.committed,pools.PS-Eden-Space.init,pools.PS-Eden-Space.max,pools.PS-Eden-Space.usage,pools.PS-Eden-Space.used,pools.PS-Eden-Space.used-after-gc,pools.PS-Old-Gen.committed,pools.PS-Old-Gen.init,pools.PS-Old-Gen.max,pools.PS-Old-Gen.usage,pools.PS-Old-Gen.used,pools.PS-Old-Gen.used-after-gc,pools.PS-Survivor-Space.committed,pools.PS-Survivor-Space.init,pools.PS-Survivor-Space.max,pools.PS-Survivor-Space.usage,pools.PS-Survivor-Space.used,pools.PS-Survivor-Space.used-after-gc,runnable.count,terminated.count,timed_waiting.count,total.committed,total.init,total.max,total.used,unloaded,uptime,vendor,waiting.count
org.apache.nifi.registry.service.TestRegistryService.testCreateSnapshotVersionAlreadyExists,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.03371462541776067,32188312,4527,16924@christian-ThinkPad-X250,0,33619968,2555904,-1,-3.2594952E7,32594952,7405568,2555904,251658240,0.029111735026041665,7326208,3276800,0,1073741824,0.0028292685747146606,3037904,22937600,0,-1,0.969208984375,22231328,124780544,31457280,338690048,0.07360721741667473,24930032,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,220790784,128385024,954728447,64788608,0,2774,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testCreateSnapshotVersionAlreadyExists,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.03631052166992724,34666688,4551,16924@christian-ThinkPad-X250,0,34144256,2555904,-1,-3.3046496E7,33047264,7667712,2555904,251658240,0.030224100748697916,7606144,3276800,0,1073741824,0.0028435885906219482,3053280,23199744,0,-1,0.9650340969279662,22388544,124780544,31457280,338690048,0.08092475158880369,27408408,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221315072,128385024,954728447,67723168,0,2835,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testGetLatestSnapshotMetadataWhenVersionsExist,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.03890655199162977,37145192,4551,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.3092968E7,33092968,7733248,2555904,251658240,0.030382792154947918,7646080,3276800,0,1073741824,0.0028435885906219482,3053280,23199744,0,-1,0.9652523751986228,22393608,124780544,31457280,338690048,0.08824266368759674,29886912,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,70238160,0,2851,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testGetLatestSnapshotMetadataWhenVersionsExist,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.03890655199162977,37145192,4551,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.31032E7,33103200,7733248,2555904,251658240,0.03041839599609375,7655040,3276800,0,1073741824,0.0028435885906219482,3053280,23199744,0,-1,0.9653072033898306,22394880,124780544,31457280,338690048,0.08824266368759674,29886912,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,70256536,0,2853,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testDeleteFlowDoesNotExist,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.04150248176118033,39623600,4551,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.312732E7,33128728,7733248,2555904,251658240,0.030492146809895832,7673600,3276800,0,1073741824,0.0028435885906219482,3053280,23199744,0,-1,0.9656075515316032,22401848,124780544,31457280,338690048,0.09556029234139174,32365320,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,72757112,0,2869,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testDeleteFlowDoesNotExist,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.04150248176118033,39623600,4552,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.3137888E7,33137888,7733248,2555904,251658240,0.03051579793294271,7679552,3276800,0,1073741824,0.002844087779521942,3053816,23199744,0,-1,0.9657227252162782,22404520,124780544,31457280,338690048,0.09556029234139174,32365320,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,75239880,0,2873,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testUpdateFlowDoesNotExist,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.04409839477203888,42101992,4552,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.3143928E7,33143928,7733248,2555904,251658240,0.030531565348307293,7683520,3276800,0,1073741824,0.002844087779521942,3053816,23199744,0,-1,0.9658120365466102,22406592,124780544,31457280,338690048,0.10287787375435371,34843712,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,75253528,0,2888,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testUpdateFlowDoesNotExist,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.04409839477203888,42101992,4553,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.316224E7,33162240,7733248,2555904,251658240,0.03058141072591146,7696064,3276800,0,1073741824,0.0028450191020965576,3054816,23199744,0,-1,0.9660299699858758,22411648,124780544,31457280,338690048,0.11019540792648268,37322088,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,77723184,0,2893,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testUpdateFlowWithoutId,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.04669429102420545,44580368,4553,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.3150872E7,33150872,7733248,2555904,251658240,0.030518086751302083,7680128,3276800,0,1073741824,0.0028450191020965576,3054816,23199744,0,-1,0.9662144547801906,22415928,124780544,31457280,338690048,0.11019540792648268,37322088,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,77739240,0,2913,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.service.TestRegistryService.testUpdateFlowWithoutId,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,1,31,7,45,0,4,3,0,[],187170816,125829120,954728448,0.049290187276372015,47058744,4553,16924@christian-ThinkPad-X250,0,34209792,2555904,-1,-3.3163712E7,33163712,7733248,2555904,251658240,0.03056640625,7692288,3276800,0,1073741824,0.0028450191020965576,3054816,23199744,0,-1,0.9663151455464336,22418264,124780544,31457280,338690048,0.11751294209861164,39800464,0,52953088,83886080,716177408,0.010134751416230096,7258280,7258280,9437184,5242880,9437184,0.0,0,0,2,0,0,221380608,128385024,954728447,80226552,0,2916,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
